address,lat,lng,number,description,photo_name,number_metal,number_barrel,id
3340 21st St,37.75695709,-122.4220608,1,Large fenced off area where there is also a tree. ,3340 21st.jpg,0,0,old
3345 19th St,37.7619,-122.4185611,1,wooden barrel,3345 19th.jpg,0,1,new
3349 20th St,37.75874016,-122.415728,4,Two round metal tubs and two long metal tubs,334920th.jpg,0,0,old
335 Shotwell St,37.76299143,-122.4161249,1,One very small plastic round pot,335shotwell.jpg,0,0,old
3351 23rd St,37.75328936,-122.4197606,3,"Three metal pots, empty, large, rusty",335123rd.jpg,0,0,old
3352 22nd St,37.75531924,-122.4221519,3,Round wooden barrels,3352 22nd.jpg,0,3,new
3365 19th St,37.7603,-122.4184417,1,cement,3365 19th.jpg,0,0,old
3367 25th St,37.75062217,-122.417653,4,tin/Metal tubs,3367 25th St.jpg,4,0,new
3368 19th St,37.76004444,-122.419325,1,Metal Tub ,3368 19th St.jpg,0,0,old
3370 23rd St ,37.7538107,-122.4202282,2,Round wooden barrels with loquat trees,3370 23rd St.jpg,0,2,new
3373 19th St,37.76028333,-122.4185167,1,cement,3373 19th St.jpg,0,0,old
3388 19th St,37.76016389,-122.4191667,2,wooden boxes,3388 19th St.jpg,0,0,old
339 Shotwell St,37.76291553,-122.4161145,3,Two round plastic pots and one hexagon pot with steel wires and stones,339shotwell.jpg,0,0,old
339 South Van Ness Ave,37.76779175,-122.4176516,1,One big blue rectangular planter box,339svn.jpg,0,0,old
340 Potrero Ave,37.7651804,-122.4076567,10,Long tall metal planters.,will_076_340Potrero.jpg,0,0,old
340 South Van Ness Ave,37.76770561,-122.4178852,3,Three small concrete rectangular planters,340svn.jpg,0,0,old
3400-3418 17th St,37.763303,-122.42212,1,ceramic,3400-3418 17th St.jpg,0,0,old
343 San Carlos St,37.75789509,-122.4197334,3,Three stone pots,343sancarlos.jpg,0,0,old
344 14th St,37.7684968,-122.4208752,6,Six metal tubs at the Southern end of Woodward Street,34414th.jpg,6,0,new
3440 24th St,37.75220535,-122.4215277,4,Three wooden barrels and one pot,344024th.jpg,0,3,new
35 Lapidge St,37.76113863,-122.4223415,1,One long planter box,35lapidge.jpg,0,0,old
35 Woodward St,37.76933952,-122.4208622,8,"Eight different shapes and sizes planters, see picture.",35woodward.jpg,0,0,old
3500 19th St,37.760162,-122.421592,4,metal tubs,3500 19th St.jpg,4,0,new
3514 25th St,37.75056696,-122.4207778,6,Four round wooden barrels and two metal tubs,Same block across 3529 to Valencia.jpg,2,4,new
3532 20th St,37.758611,-122.419944,3,wooden barrels,3541 20th.jpg,0,3,new
3543 18th St,37.76145463,-122.4224682,5,Five pots,354318th.jpg,0,0,old
3549 23rd St,37.75352616,-122.4224313,1,Round wooden barrels,3549 23rd St..jpg,0,1,new
3560 18th St,37.761678,-122.422845,3,ceramic,3560 18th St_2.jpg,0,0,old
3560 18th St,37.76173,-122.422988,3,ceramic,3560 18th St_1.jpg,0,0,old
3566 23rd St,37.75365252,-122.422884,4,Round wooden barrels,3566 23rd st.jpg,0,4,new
3568 19th St,37.760138,-122.423042,1,ceramic,3568 19th St_2.jpg,0,0,old
3568 19th St,37.760105,-122.422988,3,coloful ceramic,3568 19th St_1.jpg,0,0,old
3599 26th St,37.74872901,-122.4204753,6,Three wooden barrels and three big metal tubs,359926th.jpg,3,3,new
36 Elgin Park,37.77088,-122.423338,5,ceramic,36 Elgin Park.jpg,0,0,old
3625 20th St,37.75842697,-122.4218577,2,Large wooden. Welll maintained. ,3625 20th.jpg,0,0,old
370 Valencia St,37.76716651,-122.4222371,16,Two big round concrete ones and 14 rectangular big concrete ones,370valencia.jpg,0,0,old
3760 26th St,37.74876337,-122.4239508,2,Large earthenware planets,3760 26th St.jpg,0,0,old
377 Capp St,37.76069452,-122.418094,3,Three black rectangular pots,377capp.jpg,0,0,old
3938 23rd St,37.75317683,-122.4307099,3,Planted areas. ,3938 23rd.jpg,0,0,old
401 Alabama St,37.76382678,-122.4122143,3,Three metal planters on top of wooden construction.,will_044_401Alabama.jpg,0,0,old
417 Capp St,37.76002925,-122.4180335,7,Seven pots,417capp.jpg,0,0,old
42 Lapidge St,37.76093348,-122.4224119,1,One yellow square planter box,42lapidge.jpg,0,0,old
42 Woodward St,37.76927508,-122.4209514,5,Five long black rectangular,42woodward.jpg,0,0,old
421 Capp St,37.75992372,-122.4180195,2,Two pots,421capp.jpg,0,0,old
44 Woodward St,37.76917662,-122.4209531,2,Wooden barrels ,44woodward.jpg,0,2,new
45 Duboce Ave,37.76973361,-122.4209985,5,"Two metal tubs, two wooden barrels, one rectangular ",45duboce.jpg,2,2,new
45 Woodward St,37.76916438,-122.4208453,1,Wooden barrel,45woodward.jpg,0,1,new
450 Florida St,37.76333551,-122.4113681,8,Five large ceramic pots and three metal trays. Tents were set up across the road.,will_045_450Florida.jpg,0,0,old
452 Bartlett St,37.74970225,-122.4194165,2,Two big stone pots,452bartlett.jpg,0,0,old
455 Guerrero St,37.763897,-122.423845,4,wooden,455 Guerrero St_2.jpg,0,0,old
455 Guerrero St,37.763938,-122.42385,7,wooden,455 Guerrero St_1.jpg,0,0,old
46 Elgin Park,37.77077506,-122.423308,2,Two ceramic pots,46elginpark.jpg,0,0,old
46 Lapidge St,37.76086284,-122.4224017,5,"Five different sizes and shapes, see picture",46lapidge.jpg,0,0,old
461 Capp St,37.75936101,-122.4179597,3,Three pots,461capp.jpg,0,0,old
47 Lapidge St,37.76086575,-122.4223013,2,Two rectagular wooden boxes,47lapidge.jpg,0,0,old
47 Pearl St,37.77065815,-122.4238794,2,Two wooden boxes,47pearl.jpg,0,0,old
49 Lapidge St ,37.76087248,-122.4223036,1,One black rectangular box,49lapidge.jpg,0,0,old
49 Linda St,37.76092066,-122.4229311,4,Four small pots,49linda.jpg,0,0,old
499 Alabama St,37.76314784,-122.4121147,2,Bathtub planter and pot with tree.,will_043_499Alabama.jpg,0,0,old
499 Alabama St,37.76303239,-122.4120426,10,"Concrete, plastic, and metal planters.",will_042_499Alabama.jpg,0,0,old
50 14th St,37.76849167,-122.4156667,4,ceramic,50 14th St.jpg,0,0,old
51 Lexington St,37.76196496,-122.4208076,7,Seven wooden barrels ,51lexington.jpg,0,7,new
52 Shotwell St,37.76759949,-122.4167188,2,Two medium-sized wooden rectangular planters,52shotwell.jpg,0,0,old
521 Bartlett St,37.74853528,-122.4191545,1,One wooden barrel pot,521bartlett.jpg,0,0,old
53 Woodward St,37.7690991,-122.4208373,1,Wooden barrel,53woodward.jpg,0,1,new
538 Valencia St,37.76430255,-122.4219597,4,A small rectanguar one and three small round ones,,0,0,old
54 Balmy St,37.75198748,-122.412445,50,Hundreds of pots all along Balmy Alley.,will_026_54Balmy.jpg,0,0,old
54 Lapidge St,37.76079777,-122.4224091,1,One stone pot,54lapidge.jpg,0,0,old
540 Shotwell St,37.75980787,-122.4159736,2,Two wooden barrels,540shotwell.jpg,0,2,new
55 Woodward St,37.76899083,-122.4208291,2,Wooden barrels,55woodward.jpg,0,2,new
550 Florida St,37.76218396,-122.4112638,2,Two planters set into benches.,will_046_550Florida.jpg,0,0,old
56 Pearl St,37.77041174,-122.423953,1,One turquoise color ceramic pot,56pearl.jpg,0,0,old
56 Woodward St ,37.76902543,-122.4209324,1,Wooden barrel,56woodward.jpg,0,1,new
575 Florida St,37.76192585,-122.4110307,11,Tall concrete trays with fake bushes.,will_047_575Florida.jpg,0,0,old
590 York St,37.76201052,-122.4093084,7,Small concrete trays.,will_077_590York.jpg,0,0,old
595 Alabama St,37.761828,-122.4119813,4,"Two planters set into benches, two wooden planters.",will_041_595Alabama.jpg,0,2,new
60 13th St,37.76956667,-122.4144278,13,Metal tubs,60 13th St.jpg,13,0,new
60 Linda St,37.76069043,-122.4230049,4,Four pots,60linda.jpg,0,0,old
60 Woodward St,37.7689431,-122.4209194,1,One pot,60woodward.jpg,0,0,old
604 Capp St,37.75692389,-122.4179076,5,Four pots and one wooden barrel,604capp.jpg,0,1,new
607 Shotwell St,37.75853958,-122.4157085,4,Four pots with different colors and sizes,607shotwell.jpg,0,0,old
607A Shotwell St,37.75852142,-122.4157013,11,11 pots with different sizes,607ashotwell.jpg,0,0,old
61 Brosnan St,37.768662,-122.423637,1,ceramic,61 Brosnan St_2.jpg,0,0,old
61 Brosnan St,37.768638,-122.423645,1,ceramic,61 Brosnan St_1.jpg,0,0,old
61 Woodward St,37.76897228,-122.4208221,2,Wooden barrels,61woodward.jpg,0,2,new
619 Shotwell St,37.75845092,-122.4156873,17,17 pots with different sizes,619shotwell.jpg,0,0,old
62 Lapidge St,37.7606591,-122.4223892,2,Two wooden barrels,62lapidge.jpg,0,2,new
63 Brosnan St,37.768638,-122.423645,2,ceramic,63 Brosnan St.jpg,0,0,old
63 Pearl St,37.77046062,-122.4238591,2,Two slim black pots,63pearl.jpg,0,0,old
63 Woodward St ,37.76897334,-122.420813,2,One pot and one wooden barrel ,63woodward.jpg,0,1,new
639 York St,37.76070574,-122.4089529,3,Two ceramic pots and one metal tub.,will_079_639York.jpg,1,0,new
64 Linda St,37.76061569,-122.4229953,4,Two ceramic pots and two square wood boxes,64linda.jpg,0,0,old
642 Capp St,37.75641144,-122.4178535,2,Two black pots,642capp.jpg,0,0,old
65 Albion St,37.76548635,-122.4231435,4,Four wooden barrels,65albion.jpg,0,4,new
650 Florida St,37.76148577,-122.4112094,4,"Two metal buckets, two large pots.",will_048_650Florida.jpg,0,0,old
660 York St,37.76083107,-122.4091915,4,Wooden planters holding trees.,will_078_660York.jpg,0,0,old
68 Woodward St,37.76882382,-122.4209146,2,Two wooden barrels next to gargage cans,68woodward.jpg,0,2,new
70 Elgin Park,37.770492,-122.423325,3,wooden,70 Elgin Park.jpg,0,0,old
70 Lapidge St,37.76057222,-122.4223805,2,Two pots,70lapidge.jpg,0,0,old
70 San Jose Ave,37.75407565,-122.4216066,4,Four rectangular pots,70sanjose.jpg,0,0,old
705 Florida St,37.76026781,-122.4108576,8,Large pots.,will_050_705Florida.jpg,0,0,old
708 Guerrero St,37.75976621,-122.4237776,1,One wooden rectangular planter box,708guerrero.jpg,0,0,old
715 Hampshire St,37.76002658,-122.4079224,1,Planter in bench around tree.,will_101_715Hampshire.jpg,0,0,old
73 Woodward St,37.76883213,-122.4208088,2,Wooden barrels,73woodward.jpg,0,2,new
735 Capp St,37.75461669,-122.417496,4,One metal tub and three pots,735capp.jpg,1,0,new
740 15th St,37.76712754,-122.4084516,7,Four wooden pots and some small ceramic pots.,will_075_74015th.jpg,0,3,new
740 Valencia St,37.76100872,-122.4216427,4,Small rectangular ones,,0,0,old
741 Valencia St,37.76096761,-122.4214114,2,A small round one and a rectangular one,,0,0,old
744 Alabama St,37.76015571,-122.4117701,50,"Lots of pots and planters all along the side of the building and on the sidewalk. Metal, concrete, wood.",will_040_744Alabama.jpg,0,0,old
75 Linda St,37.76057263,-122.4229015,1,One blue pot,75linda.jpg,0,0,old
76 Linda St,37.76047628,-122.4229831,1,One wooden box on the side of the street,76linda.jpg,0,0,old
760 Shotwell St,37.75628642,-122.4156304,1,One wooden barrel,760shotwell.jpg,0,1,new
775 Florida St,37.75944707,-122.410788,5,Pots.,,0,0,old
798 South Van Ness Ave,37.76050874,-122.4171876,3,Three ceramic pots,798svn.jpg,0,0,old
81 Elgin Park,37.77025389,-122.4231603,5,Five pots of different sizes,81elginpark.jpg,0,0,old
812 York St,37.75905104,-122.4088938,1,Metal tub.,will_080_812York.jpg,1,0,new
832 Alabama St,37.75812053,-122.4115994,5,"Pots around a tree, two against a house.",will_039_832Alabama.jpg,0,0,old
84 Elgin Park,37.770255,-122.423233,6,"5 ceramic, 1 wooden",84 Elgin Park.jpg,0,0,old
84 Virgil St,37.74962292,-122.4154846,3,One wooden barrel and two clay round pots,84virgil.jpg,0,1,new
85 Linda St,37.76039593,-122.4228856,1,One medium-sized pot,85linda.jpg,0,0,old
85 Woodward St,37.7686294,-122.4207974,3,Three pots,85woodward.jpg,0,0,old
855 Alabama St,37.7582191,-122.4114458,2,Tall black tray planters.,,0,0,old
855 Hampshire St,37.75846014,-122.4077926,1,Rusted metal tray.,will_100_855Hampshire.jpg,0,0,old
87 Virgil St,37.7495712,-122.4154196,4,Four wooden barrels,87virgil.jpg,0,4,new
872 York St,37.75816212,-122.4087853,1,Ceramic pot.,will_081_872York.jpg,0,0,old
877 Shotwell St,37.75431734,-122.4153024,7,Seven pots of different sizes and shapes,877shotwell.jpg,0,0,old
89 Elgin Park,37.77013,-122.423187,1,ceramic,89 Elgin Park.jpg,0,0,old
90 Lapidge St,37.76031415,-122.4223484,3,Three clay pots,90lapidge.jpg,0,0,old
900 Treat Ave,37.75561848,-122.4133872,9,Large wooden pots.,will_023_900Treat.jpg,0,9,new
901 South Van Ness Ave,37.75866091,-122.4167726,1,One small round wooden barrel,901svn.jpg,0,0,old
901 South Van Ness Ave,37.75867,-122.417,4,wooden barrels,901 S Van Ness Ave.jpg,0,0,old
91 Elgin Park,37.77006909,-122.4231482,3,Three pots,91elginpark.jpg,0,0,old
912 Capp St,37.75187961,-122.4174289,1,One pot,912capp.jpg,0,0,old
916 Capp St,37.75184162,-122.4174348,2,Two pots,916capp.jpg,0,0,old
92 Lapidge St,37.7602236,-122.4223278,3,Three pots,92lapidge.jpg,0,0,old
922 Alabama St,37.75665735,-122.4114449,10,Assorted pots.,will_036_922Alabama.jpg,0,0,old
924 Shotwell St,37.75324783,-122.4153645,14,14 wooden barrels,924shotwell.jpg,0,14,new
927 York St,37.75713653,-122.408547,2,Ceramic pots.,will_083_927York.jpg,0,0,old
930 Potrero Ave,37.75726052,-122.4069298,2,Wooden pot and wooden tray.,will_103_930Potrero.jpg,0,0,old
940 Hampshire St,37.75707586,-122.407798,2,Tall black trays.,will_098_940Hampshire.jpg,0,0,old
96 Balmy St,37.75121017,-122.4123549,50,Hundreds of pots all along Balmy Alley.,will_027_96Balmy.jpg,0,0,old
967 York St,37.75663533,-122.4085049,1,Big wooden pot.,will_084_967York.jpg,0,1,new
969 Shotwell St,37.75299771,-122.4151584,2,Two white square metal pots,969shotwell.jpg,0,0,old
998 Alabama St,37.75626922,-122.4114142,2,Wooden planters.,will_035_998Alabama.jpg,0,2,new
998 Guerrero St,37.75529015,-122.423341,2,Two wooden barrels,998guerrero.jpg,0,2,new
Across from 3529 25th St,37.75054646,-122.4211136,4,Three wooden barrels and one metal tub,Across from 3529 25th.jpg,1,3,new
Dearborn St and Bird St,37.76228367,-122.4229183,5,Outside of the fence of the Dearborn Community Garden,dearbornandbird.jpg,0,0,old
Market and Octavia streets,37.77161358,-122.4233949,39,21 wooden barrels and 18 big metal tubs,marketoctavia.jpg,18,21,new
Market St. and McCoppin St. and Elgin Park Octavia St.,37.771575,-122.42357,6,metal tubs,Market St. and McCoppin St. and Elgin Park Octavia St..jpg,6,0,new
Southside between Capp and Mission streets,37.75700956,-122.4183928,4,Tin/Metal tubs,SouthSide Between Capp and Mission.jpg,4,0,new
TOTAL,,,2078,,,212,405,
